Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12_MULTIPLE_CHOICE,Q17,Q18,Q20,Q22,Q23,Q24,Q25,Q26,Q32,Q37,Q40,Q43,Q46,Q48
Male,2,Brazil,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Research Scientist,Accounting/Finance,3-4,117609,We are exploring ML methods (and may one day put a model into production),"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Python,Python,Other,Matplotlib,3,4,2,2,Time Series Data,Other,Independent projects are slightly more important than academic achievements,0,0-10,I am confident that I can understand and explain the outputs of many but not all ML models
Male,1,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Other,0-1,4849,We are exploring ML methods (and may one day put a model into production),"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Python,Python,TensorFlow,Matplotlib,5,3,3,1,Time Series Data,Other,Independent projects are slightly more important than academic achievements,0,0,I am confident that I can understand and explain the outputs of many but not all ML models
Male,2,China,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,0-1,39314,We use ML methods for generating insights (but do not put working models into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,Scikit-Learn,Matplotlib,4,2,2,5,Numerical Data,Online University Courses,Independent projects are equally important as academic achievements,70-80,70-80,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,0,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Medical/Pharmaceutical,0-1,1307,No (we do not use ML methods),"Local or hosted development environments (RStudio, JupyterLab, etc.)",R,R,Caret,ggplot2,2,3,2,4,Numerical Data,Other,Independent projects are much more important than academic achievements,10-20,Other,I am confident that I can explain the outputs of most if not all ML models
Male,0,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,5745,We are exploring ML methods (and may one day put a model into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,Keras,Other,3,2,2,0,Other,Other,Independent projects are much more important than academic achievements,10-20,0-10,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,4,United States of America,Doctoral degree,Physics or astronomy,Developer Advocate,Computers/Technology,2-3,193314,"We have well established ML methods (i.e., models in production for more than 2 years)","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Python,Python,Keras,Other,2,6,7,4,Image Data,Coursera,Independent projects are slightly more important than academic achievements,30-40,20-30,I am confident that I can explain the outputs of most if not all ML models
Female,2,United States of America,Some college/university study without earning a bachelor’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Analyst,Marketing/CRM,0-1,69595,"We have well established ML methods (i.e., models in production for more than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",R,Python,Caret,ggplot2,4,4,2,1,Numerical Data,DataCamp,Independent projects are slightly more important than academic achievements,0,70-80,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,4,United States of America,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,4-5,89168,We are exploring ML methods (and may one day put a model into production),Other,C#/.NET,Python,Other,Other,4,1,2,0,Other,Other,Independent projects are slightly more important than academic achievements,Other,Other,Other
Male,4,United States of America,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Data Scientist,Online Service/Internet-based Services,1-2,128918,"We recently started using ML methods (i.e., models in production for less than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,Scikit-Learn,Matplotlib,3,4,5,4,Geospatial Data,Coursera,Independent projects are slightly more important than academic achievements,0-10,0-10,I am confident that I can understand and explain the outputs of many but not all ML models
Male,9,India,Master’s degree,Mathematics or statistics,Consultant,Government/Public Service,2-3,24037,I do not know,"Local or hosted development environments (RStudio, JupyterLab, etc.)",R,R,Other,ggplot2,1,3,1,5,Numerical Data,edX,Independent projects are much more important than academic achievements,0,0,I am confident that I can understand and explain the outputs of many but not all ML models
